14074,238,2867,9374,4,0,0
8969,239,1655,12547,4,7,0
11753,240,1059,8238,2,16,0
3377,241,2096,9002,4,0,0
10153,242,1042,8405,2,47,0
5533,243,1867,14310,3,37,0
1865,244,1255,6325,3,19,0
425,245,1684,6601,4,0,1
8326,246,5874,13760,5,0,1
6484,247,1074,9466,3,22,0
11294,248,1169,5175,3,21,0
14831,249,1858,10485,4,0,0
13568,250,3024,18853,4,7,0
11456,251,1558,13560,4,19,1
921,252,1125,9380,3,30,0
9006,253,1521,6181,3,1,0
4283,254,1709,10030,3,2,0
2059,255,1280,7238,3,36,0
12452,256,2813,11213,4,0,1
11182,257,1974,5499,4,0,0
7441,258,1965,7939,3,0,0
5102,259,1574,5336,3,4,0
7976,260,1215,4726,3,5,0
10044,261,2400,9086,4,4,1
404,262,2507,23075,4,13,1
3237,263,1959,8763,4,1,0
14789,264,2586,43497,5,30,0
13095,265,1099,4955,3,3,0
2838,266,2253,22391,4,15,1
1906,267,3451,14001,5,23,1
1031,268,1311,13152,3,20,0
12251,269,1299,4950,4,0,0
11653,270,1140,8291,3,31,0
13377,271,2444,8718,4,8,1
5003,272,1408,2933,3,11,0
13810,273,3044,12083,4,9,1
249,274,2577,5500,4,3,1
13327,275,1271,7910,2,15,0
12233,276,2588,6000,4,0,0
14248,277,1778,8346,3,0,0
4603,278,1457,6358,3,0,0
3793,279,2331,10232,5,28,1
9841,280,1618,15261,3,47,0
5929,281,1258,4400,3,0,0
5105,282,1209,8562,3,28,0
13654,283,1418,11295,4,36,0
5268,284,2030,7495,4,3,0
28,285,1319,16026,3,40,0
1453,286,1413,11958,3,44,0
11202,287,1183,4200,3,13,0
9474,288,2791,7784,5,0,1
12273,289,2302,6623,4,0,0
3315,290,1425,5502,3,21,0
11932,291,616,7280,2,19,0
14423,292,2768,9855,4,0,0
10882,293,2206,8629,4,3,0
8292,294,3103,18074,3,13,0
6562,295,1640,5496,3,4,0
9153,296,2373,9600,3,21,0
6875,297,2815,5300,4,0,0
12421,298,2195,25572,4,16,0
11893,299,1544,35136,3,27,0
11560,300,1240,8450,3,34,0
12812,301,1032,8131,3,16,0
256,302,2280,8621,3,0,0
7935,303,2830,11361,4,0,0
212,304,2227,12174,4,12,0
11089,305,1536,7148,3,0,0
6491,306,1050,9000,3,15,0
12527,307,1613,4600,3,0,0
10116,308,2112,6299,4,7,0
5627,309,1025,12050,2,16,0
2007,310,2613,12411,4,0,0
595,311,2897,5873,5,2,1
2252,312,2631,7333,5,0,0
11091,313,3403,14799,4,4,1
8528,314,2349,5778,4,0,1
11603,315,2042,6875,4,0,0
6412,316,1884,6819,4,0,0
6327,317,1806,5827,4,0,0
3114,318,2553,13091,4,2,1
14123,319,1872,18315,4,26,0
5058,320,2740,10105,4,0,1
13052,321,1255,9811,3,13,0
9251,322,2394,11953,3,7,1
11316,323,1032,7918,3,1,0
14328,324,1750,10133,4,14,0
4317,325,2304,9323,4,1,1
9305,326,1661,7730,3,0,0
9317,327,1632,5501,3,0,0
