Price,Year,Home_size,Parcel_size,Beds,Age,Pool,X_coord,Y_coord,cbd_dist
56.316,2001,846,3298,3,15,0,462679.6,1532849,21992.38
56.349,2002,1029,6098,3,44,0,522410.5,1533021,3831.22
56.518,2003,875,11940,2,45,0,529596.8,1512955,5753.9
56.729,2000,798,8819,2,20,0,514292.1,1560461,10919.38
56.86,2002,908,6299,3,27,0,513284.1,1538827,6976.41
56.871,2003,1063,10134,3,45,0,508947.3,1549352,9652.09
56.932,2002,780,28173,1,21,0,514972.7,1556732,9879.88
57.287,2001,984,7094,2,42,0,511438.9,1541483,7798.73
57.321,2002,1108,8052,3,41,0,582425.8,1536270,14585.7
57.359,2002,1069,3517,2,24,0,523747.7,1480004,15930.32
57.373,2005,960,15140,2,40,0,527093.5,1507017,7707.2
57.46,2003,850,10244,3,28,0,499311.8,1543630,11478.0
57.519,2003,1158,25018,3,5,0,517364.3,1529076,5359.2
57.675,2003,840,7142,2,35,0,513406.7,1497653,12102.98
57.687,2004,600,10773,2,15,0,497356.1,1578900,18508.6
57.724,2000,960,7508,3,28,0,505516.0,1548054,10317.63
57.773,2001,1372,8000,3,46,0,558581.3,1528326,7284.11
57.922,2002,1472,7240,3,11,1,527438.0,1515271,5323.16
58.03,2003,1088,11755,2,40,0,511620.0,1535749,7214.52
58.049,2000,1032,4320,2,15,0,488530.1,1584335,21499.03
58.074,2000,1275,4028,3,16,0,518720.6,1559377,9917.46
58.175,2000,1225,9175,3,29,0,565536.6,1542450,9973.29
58.244,2000,1154,11045,3,42,0,508743.3,1549129,9664.06
58.258,2001,1283,10123,3,11,0,508376.6,1539578,8466.13
58.292,2002,1180,3648,4,52,0,529485.0,1528332,1833.99
58.33,2001,934,7544,2,17,0,518948.5,1559288,9859.8
58.462,2005,732,6900,2,43,0,515699.0,1556263,9633.12
58.576,2000,1276,6870,2,40,0,534346.9,1521613,2893.75
58.667,2001,1166,8438,3,31,0,511777.4,1537908,7326.05
58.706,2002,932,9417,3,47,0,507594.9,1527932,8356.25
58.767,2003,1370,14966,3,48,0,483173.0,1546132,16394.64
58.814,2004,1152,8001,3,46,0,526601.2,1515887,5270.18
58.908,2001,1296,7498,3,29,0,505253.2,1548052,10386.23
59.041,2000,797,11250,2,40,0,513737.4,1557023,10184.65
59.158,2001,1924,12372,2,48,0,453513.8,1610843,34707.68
59.25,2003,1119,2482,2,19,0,518440.2,1559339,9944.78
59.271,2002,1066,5504,2,37,0,513186.0,1535386,6724.64
59.394,2000,2242,6781,4,38,0,518422.3,1523789,5474.64
59.402,2001,984,2223,3,10,0,462829.0,1531907,21942.99
59.412,2003,1205,6655,3,34,0,517983.1,1519829,6177.24
59.453,2004,1108,6846,2,47,0,523126.4,1553613,7732.64
59.502,2000,1766,10109,3,39,0,524248.6,1526722,3490.65
59.518,2004,1009,3999,3,14,0,472761.2,1541362,19170.94
59.537,2000,938,2223,2,7,0,462716.1,1531794,21973.02
59.573,2000,1192,7862,4,30,0,510523.8,1535602,7534.01
60.103,2001,1100,6889,3,42,0,594932.0,1545755,18847.72
60.2,2001,1000,8799,3,38,0,488078.8,1542059,14633.13
60.654,2000,1816,8981,4,35,0,557031.6,1533650,6807.36
60.71,2000,1066,7489,2,15,0,553946.3,1537583,6148.93
60.853,2002,812,6751,2,17,0,530201.1,1520915,3408.94
60.874,2000,1142,7422,3,35,0,486298.9,1542455,15188.7
61.022,2003,520,7274,2,42,0,487710.4,1531271,14359.23
61.113,2003,1021,6709,3,42,0,506240.9,1531199,8712.99
61.228,2003,1278,13225,2,37,0,520422.6,1545388,6183.58
61.237,2002,1031,1370,3,28,0,557985.8,1524532,7331.77
61.255,2002,1258,9597,3,44,0,509598.1,1548719,9378.98
61.332,2003,690,8517,2,24,0,471149.1,1536402,19472.47
61.421,2001,1110,8801,3,53,0,505142.3,1530856,9047.97
61.6,2002,1136,6751,2,14,0,514408.3,1561278,11104.29
61.705,2000,989,7685,2,41,0,535393.4,1505137,7912.01
61.725,2001,936,8273,2,38,0,566362.5,1512046,11223.64
61.745,2001,832,21349,1,47,0,581409.8,1541452,14536.84
61.805,2000,1250,7849,3,29,0,512876.5,1545840,8059.04
61.836,2001,1092,19939,3,17,0,489980.6,1574787,19079.06
61.926,2005,938,3517,2,21,0,518442.3,1559286,9935.92
62.05,2001,1614,8818,4,19,1,566072.2,1532088,9522.21
62.203,2000,1234,1906,3,16,0,465168.5,1532231,21230.38
62.246,2002,990,1638,2,15,0,540415.3,1472313,17991.98
62.276,2003,984,2225,3,9,0,462717.8,1531906,21972.84
62.532,2002,1356,6586,3,7,0,514831.1,1522698,6611.05
62.604,2002,1539,10617,3,42,0,504973.7,1542927,9786.96
62.725,2001,1264,7798,3,34,0,564724.6,1512796,10678.54
62.788,2000,867,10126,3,7,1,510878.8,1537049,7521.68
63.113,2001,864,13344,2,37,0,512144.8,1536544,7110.44
63.172,2000,936,8745,2,27,0,489654.7,1584708,21362.29
63.265,2000,864,10373,2,30,0,595979.1,1543542,19011.89
63.297,2001,1040,17503,3,20,0,488288.8,1573643,19214.66
63.371,2001,950,8577,2,30,0,516051.8,1542045,6624.66
63.556,2002,1146,26347,2,30,0,658616.6,1527195,37734.16
63.701,2001,1210,6975,3,41,0,565551.3,1512071,11008.81
63.713,2004,964,16042,3,79,0,480630.5,1538972,16689.7
63.764,2002,1680,10934,3,30,0,563401.7,1544134,9567.34
63.784,2001,912,8530,3,43,0,548909.5,1499001,10678.52
63.849,2004,1029,9584,3,52,0,507933.2,1560676,12182.69
63.918,2000,1475,9345,3,65,0,542027.8,1523528,3181.92
63.965,2000,1243,5247,2,28,0,513382.1,1535460,6670.8
64.084,2001,930,7088,2,49,0,540027.6,1520013,3729.47
64.308,2001,1075,9692,3,25,0,512683.6,1549178,8712.69
64.438,2000,847,4221,1,17,0,516172.0,1485717,14951.0
64.456,2002,1368,9456,2,43,0,480794.2,1560840,18795.46
64.499,2000,950,7166,3,27,0,514406.0,1526308,6393.84
64.694,2000,1379,7498,3,41,0,510657.8,1547856,8963.79
64.705,2003,832,13442,2,22,0,455027.5,1611447,34503.71
64.808,2003,798,5313,2,19,0,574008.6,1538068,12123.12
64.932,2000,988,7699,3,35,0,515659.3,1503875,10146.17
64.956,2000,1244,7751,3,40,0,562765.6,1521430,9005.28
65.095,2000,931,9615,3,32,0,514738.4,1529325,6147.57
65.182,2001,1052,7743,3,16,0,552878.3,1550494,8071.44
65.193,2000,1131,8323,2,17,0,491128.5,1584041,20918.55
65.196,2000,1344,2530,4,23,0,523508.6,1480289,15861.24
